¹üÁËÁßºÐ·ù,0:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,unknown,Sun,Mon,Tue,Wed,Thu,Fri,Sat
murder,15,21,20,28,38,33,43,49,50,38,45,48,40,37,49,40
attempted murder,33,50,29,44,46,60,66,82,72,71,70,68,62,73,85,53
robber,105,131,44,59,68,72,81,107,131,111,113,116,105,124,121,108
rape,630,885,417,293,325,311,425,719,1305,869,686,734,719,682,722,898
quasi-rape,102,110,57,62,60,55,66,89,181,145,99,109,92,89,112,136
ndecent act by force,1855,1921,1293,1163,1300,1706,2189,2901,2792,2580,2272,2306,2358,2231,2542,2831
other?sex?offences,36,47,12,26,20,37,30,40,77,58,53,45,49,39,43,38
arson,144,151,105,124,109,173,189,228,139,209,181,181,209,170,206,206
larceny,13088,14167,13094,21501,27167,28553,27229,20568,21590,25466,26239,25671,26061,26098,28156,29266
injury,4166,3408,2247,2967,3025,3684,4585,7433,5343,5693,4908,5063,5038,5110,5270,5776
assault,19226,16377,9345,11591,12509,14791,20704,34120,18534,25865,19966,20766,20981,21080,22045,26494
confinement,96,106,76,122,147,146,135,185,230,180,189,170,171,169,196,168
blackmail,1316,1036,1339,2288,2251,2687,3304,3437,3364,2886,3013,3039,3072,2961,3040,3011
kidnapping,10,12,17,29,41,48,32,13,48,27,40,41,34,32,40,36
affray,1234,1263,460,450,508,704,936,1427,1368,1544,1126,1100,1086,1001,1063,1430
threat,135,122,74,388,455,590,599,507,1977,483,818,740,757,744,756,549
destruction,5107,4556,4014,5277,4983,6289,9323,10822,7775,8617,7974,7634,7766,7989,8788,9378
dereliction of duty,2,3,8,123,33,21,9,5,386,24,108,123,106,99,102,28
abuse of official authority,8,11,12,135,48,40,26,15,379,44,126,118,97,107,136,46
fraud,5443,3949,3056,39184,30405,21648,13930,12387,174470,20814,52740,51876,51225,51654,52039,20
embezzlement,2754,2526,2780,6781,6586,6584,6646,6367,17484,7231,8559,8128,8318,8460,9317,48
malpractice,3,4,21,1123,277,68,39,8,3023,248,859,730,787,735,905,772
gambling,184,112,114,456,488,853,868,819,4114,915,1106,1174,1237,1304,1291,24124
drug,244,214,151,635,773,890,776,674,3681,789,1278,1352,1219,1195,1272,302
